SituationID,Situation,SituationDescription,SituationQuotes
2727,"Outside the Wire (Locating and tracking android soldier)","When Leo goes AWOL, Leo and his (then) commanding officers bypass ""Central"" by having Harp call up Corporal Bale, his former coworker and a drone pilot operator, to help them locate and track the car Leo was last seen in. With the registration number from their own database and Bale's visual aid, they find the car. Bale is ordered to ""don't lose him"", and keeps the surveillance drone (or ""asset"", as they call it) following the car.",NA
2244,"Panopticities (exposing vulnerabe IP-camera feeds)","Insecure by design IP-camera feeds are intercepted, recorded and compiled into collages of city life. Actors unaware that the footage is publicly available from these public and semi public spaces. Owners of the cameras unaware that their security cameras are accessible for third parties. The artwork exposes the vulnerability of what should be secure machine vision.",NA
344,"Paper (Band intentionally caught on CCTV)","Band filmed their music video almost entirely using CCTV footage.",NA
2265,"Passengers (Full body hologram of a crewmember)","Jim meets a full sized hologram of a crewmember in his room. The hologram interacts with him, introducing him to the life on the spaceship and answers his questions. ",NA
2269,"Passengers (Full body scan to determine the symptoms)","Aurora and Jim preform a body scan on Gus as he's slowly dying. A gold laser scans his body through and displays the results of what's wrong with Gus on a screen.",NA
2268,"Passengers (Hologram of the spaceship)","Jim, Aurora and Gus are looking at a hologram of the ship, discussing and analyzing what the problems which cause the spaceship to breakdown.",NA
2270,"Passengers (Space helmet used to track a body)","Aurora uses the space helmet's ability to track motion to detect the floating body of Jim in outer space. Different information is also included in the view inside the helmet, such as the hearth rate, oxygen levels, velocity and the suit pressure. ",NA
2267,"Passengers (Surveillance cameras in the spaceship)","Jim uses the surveillance cameras that are placed all around the spaceship to track and follow where Aurora is, then talking to her.",NA
2266,"Passengers (Use of a camera to interact with someone)","Jim build a radio controlled robot with a camera attached on the top, watching through it and controlling his way to Aurora to ask if she would go out on a date with him.",NA
1107,"Pattern Recognition (Finding Cayce using nightvision)","Cayce has been kidnapped and she escaped her captureres. She is lost and cold in the forest, just as a chopper lands and Parkaboy steps out to rescue her. He found her by using night vision binoculars.","She tries to get to her feet, but suddenly he`s there, hands on her shoulders. ""Don`t. Stay put."" The wierd one-eyed binoculars are dangling a few inches from her face. He Straightens p, turning into the glare. He waves to the helicopter. ""If they hadn`t had these night vision glasses,"" he says, over his shouider, ""We might not have found you."" p. 328"
1104,"Pattern Recogntion (Camera recognising shapes)","In a email from Parkaboy to Cayce he updates her on his process on decrypting the mysterious T-shaped like map they received from a Japanese game developer (in exchange for a photo). His friend Darryl and another friend of his developed software that would recognise objects based on their shape. What it ended up matching in the end is some dangerous explosives. Read quote!","""The T-thing Taki sent. Darryl got all hacker on that, whit this buddy of his in Palo Alto who`s one project to build a new kind of visually based search engine. Buddy has these bots that are CAD-CAM-based, look for things on the basis of how they`re shaped. Darryl got him to send two out, one to search for a section of the map that would correspond to the streets in the T. That was the ones they had high hopes for, but it came up zero. The other one was kind of an afterthought, find something shaped like this T-shaped thing. Well, they got a 100% match-up on 75% of Taki`s T. Except for the branch with the ragged edge, this looks exactly like one specific part in the manual arming mechanism of the US Army`s M18A1 Claymore mine, which is basically a wad of C4 explosive packed behind 700 steel balls. When the C4 goes off, the balls come out in a 60 degree pattern that expands to six feet; anything closer than 170 feet (with trees or foliage in the way, milage may wary) is thereby made hamburger. Used for ambushes, remotely detonated. Looks sort of like an overweight but very compact satellite video-dish, rectangular and slightly concave. Don`t ask me: its what the bot brought home. Will you call me please, NOW and tell me EVERYTHING? p. 273-274"
1103,"Pattern Recogntion (Security scanning for lying/blushing)","""They hadn`t had much to say to each other, on the train to Narita. She`d slept in the lounge, after security measures including a sort of CAT scan for their shows and answering questions in front of an infrared device that registered minute changes in the temperature of the skin around the eyes, the theory being that lying about having packed one`s own bag induced a sort of invisible and inevitable micro-blush. Though the Japanese also believed that personality is determined by blood type, or had when she was last here. Boone had been impressed, though, and had told her to expect blush machine soon in America."" p.172.",NA
1652,"PHYSIOGNOMIC SCRUTINIZER (matching faces)","The users face is matched to a gallery of 150 faces that the artist chose because of their controversial or infamous acts.
After the face is scanned, detected and matched to the faces in the gallery the user is allowed to pass. When walking trough the gate the story of the persons closes match is narrated with a robotic voice. The user passing the gate is judged based on their appearance.",NA
1554,"Pixelhead (avoiding facial recognition)","The user of this head covering ninja style hood avoids being detected by facial recognition. Also photographs on social media will not be recognized and tagged when the person is wearing this artwork.",NA
276,"Pokémon Go (Augmented reality)","The game is centered around catching Pokémon in specific locations, and the player can choose to see them in real-world scenarios through the game's augmented reality function. By accessing the phone camera, the game situates the encountered Pokémon around you.",NA
2738,"Pontos cegos / Blind spots (exposing surveillance cameras)","The user wears a helmet that detects surveillance cameras. The person is alerted when a detected camera is capturing and recording making the wearer aware of surveillance cameras in the city. The helmet automatically logs the GPS location of the camera and publishes it on a map. The increasingly ubiquitous and discreet presence of surveillance cameras are exposed by this hacking device.",NA
2755,"Portal (Avoiding GLaDOS's vision)","Chell can go into a ""hidden"" room where the security cameras and turrets (and by extension, GLaDOS) can't find/see her.",NA
1062,"Portal (Security camera)","""The Security Cameras are used by GLaDOS as a means of monitoring the movements and progress of Test Subjects."" (Portal Wiki)",NA
3013,"Portrait Machine (similar patterns)","The user is being photographed and their image is compared to previous users finding similarities in facial expressions, cloth colors, poses and object that appear in the image. The image is classified similar to others by using facial, object and emotion detection software. When the installation is not used by a visitor prior pairings of images are shown revealing how the machine recognizes similarities and differences.",NA
291,"Postcard from Google Earth (Satellite image glitches)","The artist is curating a selection of collected images from Google Earth. In these images the automated algorithms are creating flawed and glitchy surreal images of the landscape.",NA
594,"Primal Tourism (Virtual Replica)","Exploring a replica of the Bora Bora Island which is based on satellite images and other peoples imagination. It is also a speculative future version of the real island based on climat change data.",NA
1052,"Privacy Machine (Obfuscating camera)","An electronic way to say, “I want to be private today and not appear in your social media photos.”
Privacy Machine is a working proof of concept: stand in front of the screen and take the badge or the scarf. Both have a special pattern on it. As long as this pattern is recognized by the camera, the software will pixelate your face. It‘s an unrealistic wish because manufacturers would have to integrate this software into their smartphones as a default.",NA
1229,"Probably Chelsea (creating DNA 3D facial prints)","Heather (artist) combines an arsenal of published research, bioinformatics, and machine learning tools to produce statistical predictions about what Chelsea's face could look like based on DNA data she donated for the project. The donated DNA can tells multiple stories of how Chelsea could look like (informs possible variations). The artist chooses 30 possible variations that are printed into 3D facial masks.",NA
2329,"Prometheus (Alien ship's holographic map)","David 8 finds an alien ships control room and manages to turn on the ship's map. The map fills the whole room and he interacts with it. David 8 grabs a planet (which happens to be earth) that is displayed and holds it in his hand.",NA
2316,"Prometheus (Engineers use holograms to show past events)","Most of the engineers that are found on the planet the Prometheus crew located have been killed, but there are holograms that show up twice in the film that show past events and give the crew clues about what happened. It's not clear how the technology actually works, but it seems like it's embeded into the structure they are projected in.",NA
2325,"Prometheus (Peter Weyland hologram)","Onboard the Prometheus, Peter Weyland recorded a holographic message to the ship's crew.",NA
2323,"Prometheus (Scan and remove alien inside body)","Dr. Shaw is uknowingly impregnated with an alien life form and desperately tries to remove it. She finds a medical pod to get a caesarean but realized the machine is only calibrated for male bodies so she has to improvise. She tells the machine there's a foreign body in her abdomen and needs it extracted. Once inside the machine it does a scan of her body and shows what it looks like inside her.",NA
2321,"Prometheus (Scanning an Engineer head)","Elizabeth Shaw and other Prometheus crew members find a well preserved alien head inside an alien structure. They bring it back to the ship and scan the head only to realize what they think is the head is actually a helmet with a head inside.",NA
2326,"Prometheus (Stream of space suit interfaces)","The Prometheus crew all wear space suits when visiting the alien structure, and they all have suit and helmet cameras that stream a real-time feed directly to the ship.",NA
1030,"Public Waiters (Recognizing colors)","As food delivery services like Deliveroo and Foodora grows, spontaneous meeting points are being formed in cities: places where the deliverers come together to wait for new orders. These urban waiting spots could be considered a physical manifestation of the gig economy. Using a colour tracking camera that detects the worker's uniforms, Public Waiters is a video series of food deliverers waiting in public space, observed through the lens of the algorithm. The video series aims to expose the growing significance of these spaces, while also questioning new forms of automated labour.",NA
2559,"Raised by Wolves (Confrontation seen through helmet camera)","Tempest meets the man (Otho) who raped her (and impregnated her) in the wreck of the Ark. He has his big prison helmet on, and Tempest is trying to attack him, but he does see with machine vision through the helmet and stops her. Saying he remembers her and that she was small (easy to take). The conflict ends with Mother stopping them both, because she needs blood for her fetus, and plugs into Otho and gets if from him. Even though Tempest really wanted to murder him.",NA
2561,"Raised by Wolves (Holo-navigation in spacecraft)","There are numerous situations where the lander (a small spacecraft) is displaying MV of some kind, often for measuring content of artifact, to figure out if something is nuclear or poisonous, or to track someone. The main purpose is to fly it, so I chose a situation towards the end of the show where they are trying to figure out where Mother will birth her child, and they come across an area swamped with creatures. You see Father navigating the craft in the MV display and tracks the creatures.",NA
2556,"Raised by Wolves (Insert eyeball to find anomaly inside body)","After the humans get their children back, Marcus attacks Mother violently after Paul runs off with her eyes (that weaponises her). She is kept as a captive for a while but she manages to escape. She has lost a lot of her liquid (Android blood) and goes back to the fallen Ark to fix herself. There she connects to older androids and transfers liquid into herself. She talks to a android doctor called Karl, and she asks him why she has a discomfort in her abdomen. Maybe she has to relieve some pressure? She cuts herself up but it does not help. Karl then suggest to look inside herself to see what`s in there. She takes out her eyeball, looks at her self for a second then inserts it inside of herself. She finds a growing thing in there and she does not understand what it could be. Karl suggests silicone tumor.",NA
1824,"Raised by Wolves (Mother impersonates and weaponises)","The first time she realizes fully that she is necromancer (an android designed to kill) she is threatened by humans that arrive on her planet and wanting to take her son Campion away from her. The failed attempt unleashes her ""true nature"" where she kills the humans invading her home, takes their space ship to attack the Ark (the mothership with all the remaining humans left from the war). She is able to take on Marcus`s (one of the human soldiers) appearances as she is approaching the Ark and the people on board let`s her in. As she docks, she shreds the faked apperance and murders everybody that she encounters on board (except for a group of children). She enters the main control room, where a group of humans in a futile attempt try to defend themselves. She blasts them all with her sonar screams. She wants the Ark to crashland, but the command needs a Retina confirmation. She finds a human that is hiding from her, tears of his eyelid and slams his face on the retina scanner. The system approves and sends the Ark crashing down on the Kepler-22 planet.",NA
2552,"Raised by Wolves (VR as catalyst to remember)","After Mother discovers the wrecked pods in the forest, she hacks the machine and is able to enter the virtual reality, even though it was only meant for humans. In her case, she is able to enter her own archive and memories and learns about her past. She sees herself being in the Necromancer mode (which she was designed for), but then she is stunned and kidnapped, and being re-programmed by a human called Campion Sturges (to make her into Mother, a caring android). What makes her keep coming back to this virtual reality and replaying some of her earliere memories, is her relationship to Campion. There seems to be a mutual affection between Mother and Campion, and Mother is enjoying being reminded of that. After returning several times and plugging into the pod, she meets a virtual version of Campion after she learns that someone else has entered this VR. He did it because he missed her and they make VR love.",NA
689,"Ralph Breaks the Internet (Virus in game)","The jealous Ralph unleashes a virus into the game where Vanellope has decided to move to. We are shown the game world as seen by the virus, which uses object recognition to ""identity insecurities"" and then a cross hatch target to ""shoot"" to spread the insecurity to other objects in the game. ",NA
1072,"RASA-BOX (machine mirroring you)","Rasa is a “mirror” – it evaluates your “emotional state” in real-time based on your gestures. The project explores the limits of the comfort zone of the “privacy of one’s own feelings.” A camera and the algorithms will detect in real-time the skeleton data of the viewers and deduce their emotional state in order to write a sentence that falls in the same emotion category.",NA
1548,"REALFACE Glamoflage (tricking facial recognition)","The REALFACE Glamoflage T-shirts has distorted images of celebrities printed on it. When a image with a user wearing this T-shirt is uploaded to Facebook the facial recognition algorithm will recognize several faces on the T-shirt hence tricking the auto-tagging function to interpretate that there is multiple faces in the image.",NA
1967,"Recoding Art (Classifying Art)","Different kind of AI (object detection technology) is used to classify art. The descriptions that the AI provides are banal, but the mundane descriptions of the artworks reveal something about our time. The classifications that the AI provides seam flawed as the viewer knows that we are looking at artworks, however, the AI subverts the art expert and questions the power of meaning making art institutions behold. This is further investigated as Mechanical Turk (crowd workers)  who label images for object detection are asked to interpretateobjects from the art collection and define if what they see is art.",NA
326,"Red Queen (Electric eyes)","The country Norta, and especially the Silver cities, are explained to have cameras watching everywhere. In addition, the protagonist (Mare) has the ability to create and control electricity, enabling her to feel these cameras. In the beginning, she's only a target for these, but towards the end of the story, she pretends in front of them and can turn them off.","What concern me most are the black video cameras hidden in the canopy or alleyways. There are only a few at home (...) but they're all over the market. I can just hear them humming in firm reminder: someone else is watching here.
;Boxy black cameras watch me as I run at full speed (...) I can feel them, hunting like the Sentinels not so far behind me.
;The cameras are here as well. My skin crawls, feeling their electric gaze running over my bones. (...) Only when we pass through a monstrous set of doors does the electric sensation pass. The eyes cannot see me here.
;(...) but the cameras follow us with heavy, electric eyes.
;I can feel the lights still pulsing with electricity, but no cameras. No eyes. Elara cannot see me here. 'Why isn't anyone watching us?'
;Without the cameras and Elara's eyes, we can spend our time discovering what I really am.
;My voice breaks when I finally speak again. 'The cameras, the cameras can see.' 'Sentinels sworn to my mother man the cameras, trust me, they aren't what we should be worrying about,' Maven says, almost tripping over his words.
;I put a hand to my heart, letting myself look shocked for the cameras.
;The sight line of my room's cameras beat into my back, reminding me I am not alone.
;The cameras fall like trees before the ax, each little eye clicking off as I walk to Maven's room.
;To my surprise, the screens flicker, switching from the image of Cal and me to something grainy - security footage, from all the cameras, all the electric eyes."
1802,"Redshirts (Hologram of alternate universe wife/husband)","There's two universes, our universe and the Intrepid universe. The Intrepid universe is created by TV episodes of it being filmed in our world, thereby creating people in the Intrepid that is identical to people in our world. 
Samantha Martinez is given a hologram ""wedding album"" from the Alternate Universe Intrepid that is the main setting of this novel, where the woman she played on the TV set of Intrepid Margaret Elizabeth Jenkins is married to Officer Jenkins and later died, she is heavily affected by this vision. Referring to her as her sister to strangers and going so far as to spreading the ashes of the hologram when it self destructs. 
Samantha Martinez is bonding with her alternate self, she goes to spiritual guidance for it as has a existential dread moment. 
The hologram can only last for 30 days outside of the Intrepid universe due to so called ""bad writing"" from the TV writer. So Martinez is warned and films/takes pictures of the hologram with her own machines so that she has the contents. The hologram leaves behind a pile of ash which is used as ashes by a dead person by Martinez which she eventually spreads on a beach as she comes to term with the alternate universe self that is dead. The hologram is therefore both a window to a alternate universe, and a stand in to human ashes. ",NA
573,"Reflectacles (Wearing infrared-blocking glasses)","The Kickstarter presents a clear situation in which the glasses are to be worn: ""Wear IRpair & Phantom to protect your identity from unregulated facial recognition."" Some of the glasses simply block infrared so as to obscure the eyes, while the frames of some models additionally have ""infrared reflective material to defeat facial recognition"", so surveillance cameras are blinded. Screenshots are from the Kickstarter promo video.",NA
620,"Remember Me (Bio-scan)","Nilin is trapped in the Bastille and is scanned by a drone for her identity.",NA
3108,"Remember Me (Hacking visual memories)","Nilin hacks into and relives memories, and alters them so that the person will behave differently. It's presented as ""altering memories"" through a neural implant, making machine memories visible.",NA
3243,"Remember Me (Learning from Remembrane holograms)","Everyone's memories are digitalized and shared in a cloud, helped by the memory technology Sensen. Nilin can follow holographic representations of people's memories, known as Remembranes. Remembranes are explained in the game as projections through AR and function like holograms of voice and actions.",NA
3132,"Remote Control (Sankofa kills drone)","Sankofa has enjoyed living a relatively normal life with Alhaja in RoboTown, but after finding the alien seed that gave her her powers, she buys a delicious plantain and tries to find a peaceful place to eat it in private, but one of RoboCop's drone keeps watching her. She becomes angry at the drone, and beckons it to her and grabs it. Like all technology, the drone stops working at Sankofa's touch. RoboCop is ""distracted"" by the drone being killed and by Sankofa not carrying a phone, and shows a green light at the intersection although a family is crossing the street, and a child is killed as a result. The townspeople become furious, calling Sankofa an evil witch, and she is forced out of the town. ","The palm tree and bush behind her gave some privacy from the busy market. Privacy where human beings were concerned. Robots were another issue. The drone hovered feet away, this time, at eye level. Sleek, black and insectile. It had four propellers on each side and Sankofa could feel the air from their spinning. It was square shaped with dull angles, glinting in the late afternoon light. The glinting was from its many tiny camera eyes embedded all around its edges. As it hovered, the eyes smoothly rotated this way and that.
All Sankofa wanted in this moment was some privacy. To be away from watchful, curious, judgmental, prying eyes. Just for this little moment. She needed to be still and alone … and unwatched. And here this drone was spying on her with its many tiny embedded cameras. She scowled at it and muttered, “Come a little closer, you nosy thing.” Her heart was beating fast, the irritation flowing into her blood. For so many months, the drone had been following her, spying from afar. Now, it had grown bold and was disturbing her delicious meal. This was not the time.
And still, it came closer. Three feet away, now. Two feet. A foot. Sankofa dropped her slice of plantain and grabbed with both hands, making sure to avoid the propellers. Within a moment, it stopped functioning, dead in her grasp. Sankofa grunted with satisfaction, then she felt a sting of guilt.
“Hey!” a man shouted, stepping closer. He was carrying a large bunch of green plantains on his shoulder. “What have you done?”
Sankofa opened her mouth to speak, but she had no words. What had she done?
More people came around the bushes and tree to see. Sankofa threw the drone down, grabbed her food and leapt to her feet. “You see that?” the man was telling another man who’d come running over.
“Eh!” a large woman, carrying several bags said, stepping up. “Sankofa, what…”
“I … it was in my face,” Sankofa said.
“What is that thing?” another woman asked.
“It’s one of robocop’s eyes,” someone said. “Oh my God, it looks dead. She’s killed it.”
“The thing that flies like alien ship?” someone asked in English.
And that was when they all heard the loud crash from the other side of the market square. From the street. People turned to look and without a word, everyone rushed to see what had happened. Sankofa threw off her hijab, grabbed the drone and took off for Alhaja’s house.
As she ran, the world around her blurred from the tears in her eyes and the fact that she could barely breathe. Why am I carrying this thing? she vaguely wondered. But her hands wouldn’t drop the drone. She passed more people, all running in the other direction. When she arrived at Mr. Starlit, people were just leaving the store.
Alhaja was behind the counter. “Sankofa, what happened? I heard there’s been an accident at the intersection! First in decades. Is it true?” She blinked. “Where’s your hijab? You can’t—” She’d noticed the drone Sankofa carried and her eyes grew large. (pp. 117-120). 
;A child had been killed at the intersection. The seven-and-a-half-year-old had been crossing with his mother and two other people. All four people had had mobile phones on them, yes, even the child. Their names were Mary, Akua, Ason and Kweku. They all lived in RoboTown. The robocop had plenty to scan and read on them. None of them were mysteries. Yet at some point as the four of them crossed, the robocop had made a mistake. Some said it had not “been paying attention.” Its head was turned toward the market, many said. And as it had looked toward the market, it had shown a green light while it told the people to cross. The man who’d run over the seven-and-a-half-year-old said he had not seen the child.
How did he not see? Sankofa wondered as she followed the Imam, Alhaja by her side, three men following close behind her, and many of RoboTown’s citizens noisily following behind them. Are the robocop’s false eyes the only eyes he has?  (p. 122). 
;“One has died today on my watch,” it said in its sonorous female voice. “At 14:55 hours in Section 4 of the Kumasi Road intersection. A child, Ason Ayim, age 7 and a half. I said walk and gave Section 3 the Green light at the same time. I made a mistake. I am very sorry for your loss.”
“What made you make this mistake,” Sister Kumi asked, looking right at Sankofa. The robocop whose name Sankofa now knew was “Steel Brother” paused. It looked at Sankofa, as well. And as it did, its remaining drone came down and hovered feet above their heads. “That one there has no digital footprint. How can one have no digital footprint? No device, no face recognition software can recognize, no voice that responds to my voice recognition software. And that one there, she is … that one there, she is … that one there, she is…”
Then Steel Brother seemed to freeze, its massive head turned toward Sankofa. Sister Kumi looked at her husband. “What’s wrong with it?” the Imam asked.
“I don’t know!” Sister Kumi whispered.
“That one there, she is,” Steel Brother said, this time more decisively. “… Confusion. I experience confusion because of her. I spend memory on that one. I burn my energy stores on that one. Trying to understand. For me to do my job, I have to have information. That one there, she is distracting. I was gathering information on that one and that one took my eyes.”
“Your drone?” Sister Kumi asked.
“Yes. And that drew all my attention. And I grew confused. And I made my mistake.” The robot went silent and there was a moment when Sankofa could hear the crickets in the bushes beside the road. Then everyone in the mob began to speak at once—from name calling, to discussing how a robot could make a mistake, to considering the plight of RoboTown now that its robot was stupid.
All Sankofa could think of was the clear fact that the robocop had become obsessed with her to the point of being distracted enough to cause an accident and maybe it was even driving itself mad.
“Get out of our town!” a woman shrieked. Then the first stone flew past Sankofa’s head. “GET OUT!” It was the mother of the dead child. She’d left his corpse, found a large stone, thrown it and was preparing to throw another one. Her wet face was swollen, her eyes red, her nose slick with snot. “BAD LUCK! YOU’RE BAD LUCK! WITCH! EVIL REMOTE CONTROL! SATAN!” She picked up and threw another stone. It hit Sankofa in the leg.
(pp. 124-126)"
678,"Replicas (Will deletes Zoe)","Will uses a combination of body scan and AR to look through his deceased family brains and memories (His whole family died in a car crash). He can only save the consciousness of 3 family members because there is only 3 pods to transfer the consciousness to. Which leads to a horrible decision on whom he will not be able to save. To avoid the choice, he picks names out of a basket, resulting in his youngest daughter Zoe to be eliminated (or to stay dead). In order to cope with the grief he choose to delete the memories of Zoe in the other family member that he rescues.",NA
3062,"République (Finding fingerprint to unlock door)","To get inside a room that's fingerprint locked, Hope must scan fingerprints that are in another room. The player and Hope must dodge patrolling guards in order to get to this new space.",NA
3063,"République (Hacking into houses to find contraband)","Hope needs to get into an elevator to escape, but there are two Prizrak (guards) in front of it. She and the player is helped by the journalist Mattie Sade, who tells them how to hack into the global server data hubs (Atlantic and Pacific) and access home cameras, such as webcams, VHS cameras, and security cameras, in the Prizrak houses. They're looking for contraband or potentially damaging items that can be spun into a story about how unfit the Prizrak is for their job (Mattie has a sort of voice over when Hope's in the server rooms). After publishing a story on their newly found intel, Hope states that she's not comfortable and pities the guards, but Mattie basically says to suck it up.",NA
400,"République (Navigation through security cameras)","The player operates the State's surveillance cameras in order to monitor, scout for, and help Hope. The surveillance cameras are equipped with OMNI View, a software that highlights people and objects and even motion sensor lasers.",NA
939,"Restriced Residence (Price photographing radiation)","Drawn in by the physical aftermath of the natural disaster, Giles was interested in documenting how the landscape had been altered – both in terms of deconstruction and the radiation. “For some time, I have been working with drones; the capabilities of them fascinate me. This includes thermology, which is used in industrial surveying (for leaks and spillages) as well as search, rescue and medicine (screening for illnesses),” he says. “When I started to think about how to approach the altered environment of the exclusion zone, it was the visual abstractness of the colours rendered by the technology which interested me, not its scientific applications.” Colour was therefore his muse as he set out to capture the day-to-day life of the towns – along with the people who have decided to return – with intense thermal imagery and a hefty dose of post-production.",NA
3083,"Revolt (Viewer is unable to revolt)","The viewer of the 360˚ sees from the point of view of a drone, and is unable to affect what happens. The lead singer looks directly at the drone, singing ""You can revolt"", but the viewer is unable to do anything, and when the drone they inhabit is shot down they simply switch to the viewpoint of another drone. Finally the drone is shot down and the song - and the viewer's access to the world - is over.
The viewer is clearly meant to identify with the workers revolting against the drones and heavily armoured soldiers. Positioning the viewer visually as a drone works well cinematically with the constraints of a 360˚ video meant to be viewed by slotting a smartphone into a cardboard VR viewer, and also creates a duality that connects the message of revolting against machines that oppress us to our actual world - at the same time as the fascination with technology that is evident in the VR experimental music video itself speaks against the dystopian view of technology.  ","I can see you’re trapped in a maze Let’s find a way to escape
(..)
You're not afraid
You're not a drone (..)
You can revolt"
2030,"RGB Stratospheric Camarena (media archeological machine vision experiment)","Video cameras in a balloon are launched into the stratosphere as a citizen science experiment to collect own aerial images. After the flight the images are collected and as a media archaeological experiment the three black and white videos with RGB color filters are then matched together in a software simulating a analog process patented by Gonzalez Camarena in 1938 as a invention for color TV. ",NA
952,"Rick and Morty (Rick detecs intruder)","Rick is erasing the intruders poop entry, just as his motion detection sensors is picking yet another intruder. It appears to be same person as last time.",NA
928,"Rick and Morty (Rick scans twig for clues)","Rick goes to his private bathroom to find that someone else has used it. Rick discovers this finding a broken twig. He uses a some form of time laps/object recogntion scanner to analyse what or whom broke this twig (which would lead to the intruder) but match is unknown.",NA
948,"Rick and Morty (Scanning feces samples)","Failing to detect who entered the premises from scanning the twig (refer to that situation) he enters an underground lab via a secret tree tunnel elevator. There he scans all the feces samples that has entered the toilet using a form of 3D scan but also it finds out what the feces used to be, which was a sandwich. He sees this on an AR screen. Now he has to find out who ate this sandwhich in order to find the intruder who used Rick`s secret toilet.",NA
950,"Rick and Morty (Summer using dating app)","Summer signs up for a very intense dating app called Lovefinderrz, which scans her face in order to find perfect matches. It is a very intense app where you find the nre love of your life several times a day.",NA
627,"Ring (TM) Log (Identifying Trick-or-Treaters)","The piece shows the fictional log of a smart doorbell camera on Halloween 2020.","hobo or homeless // suspicious person reported ERROR 775 DETECTION_ALGORITHM_FAILURE h3>"
643,"Robotika (Robot caring for baby)","AI is using different MV technologies to observe and look after human infants.",NA
2017,"Rogue One: A Star Wars Story (Hologram of Galen Erso)","Saw Gerrera shows Jyn Erso a message he had received of Galen Erso, her father. He tells her about a weapon he created for the Empire and how to destroy it. Although he is working for the Empire it's against his will and he only did this to protect her when she was a child. But now he is trying to redeem himself by giving the rebels instructions on how to destroy this weapon (The Death Star).",NA
2018,"Rogue One: A Star Wars Story (Observing hostile situation from afar)","Cassian Andor and Bodhi Rook use binoculars and a weapon scope to keep eye on a situation involving Galen Erso. They are there to apprehend him but Cassian has orders to kill him. The telescopes use night vision to see what's going on.",NA
2020,"Rogue One: A Star Wars Story (Scans hand to get into imperial safe)","The Imperial AI Robot that accompanies Cassian Andor and Jyn Erso hacks into the Empires system and allows Jyn Erso's hand to be scanned and let into an imperial safe that contains the instructions to destroy The Death Star.",NA
2440,"Rugal ( Park Sung-woong try to break into the vault)","finds a secret vault behind a bookshelf. To access the box a retinal scan is required. and since he is unsure what failsafe it has he decided to use one of the guards he beat down to try it out. The result is that it does not match and the guard's eyes get lasered. (Episode 9, 35:11)",NA
2425,"Rugal ( The Ai shows Kang Ki-beom what it knows)","After Kang Ki-beom has gone to the eye specialist to fix his problems he continues his search for the van that kidnapped him. He closes his eyes and we get transitioned to a view that is supposed to illustrate inside Kang Ki-beom mind. Here the implant shows him information that it has gathered and what Kang Ki-beom should do next.
He can watch surveillance feed with facial recognition identifying people. The AI is decrypting and he seams to have access to more data. The AI is starting to talk with him implying that he can give it orders to e.g. search the surveillance data in front of him. The AI says ""Please be clear with your order"". (Linda) (Episode 4, 57:00)
Later (Episode 4 1:10:02) back at Kang Ki-beom is starting to control the AI giving it orders like ""Find everything about"" Hwang Deuk-gu the AI overwhelms Kang Ki-beom with data in form of video feeds and images he reacts physically to it breathing hard and holding his heart. But together with the AI he seems to process the knowledge that reveals doings Hwang Deuk-gu. The scene ends in Kang Ki-beom thinking ""I'm coming for you in my own way""
 ","You not only talk but can think too?"
2437,"Rugal (Bradley look at a 3D scan of the eye)","Kang Ki-beom is in a lab setting where several of his brain parts are scanned and monitored. There are X-rays, some kind of MR-scans and micro/nano scans of neurons, cells and DNA. This set-up is shown often as his health and situation with the optical/AI implant are monitored by his team. There is also a 3D scan of the optical implant. (Episode 9, 20:04)
After Kang Ki-beom comes out of a dream that he thought was real Bradley recommends that they reset the visual data of the eye, this should fix any memory distortion. On his tablet he starts the process. However, the reset causes memory deletion and Kang Ki-beom can see with the optical implant how images are deleted from the AI. He panics and plugs him self of the body scan system to stop the erasure of memories/data.",NA
2434,"Rugal (Kang Ki-beom finds Song Mi-na´s earpiece)","In the search for Dr.Oh in the woods which was a trap. Mi-na gets kidnapped and loses her earpiece. When everyone is ordered to withdraw Kang Ki-beom finds her earpiece with the object recognition within the optical implant. (Episode 7: 47:26)",NA
2441,"Rugal (Kang Ki-beom uses his eye to search through dental records)","Kang Ki-beom and his team arrive in a basement with a lot of bodies. He first tries to use facial recognition to identify a person but the face is damaged and his attempt fails. Then he tries to scan the teeth and finds out the victims identity. (Episode 10, 2:00)",NA
1942,"Rugal (Optical implant predicts fight)","Kang Ki-beom is finally recovered fully and tests the eye´s features and combat mode. First he trains with Song Mi-na, but his vision starts to glitch when he sees a knife. Later on he is combating with  Han Tae-woong. First he doesn't manage to dodge Han Tae-woong's punches but he slowly understands how to avoid them when the eye activates its potentials. The eye gives him an AR view showing how his opponent is going to move. 
 ",NA
2436,"Rugal (Track enemy through surveillance cameras)","individual civilians in the city start to show up hanging dead with the sign ""Kang Ki-beom is alive. He needs to show his face"". The team attempts to stop this before the secret project gets exposed and follows the culprits through a network of surveillance cameras. Bradly recognizes some suspicious behavior and the team sets of to check it out.",NA
