Title,ID,Year,Country,Genre,"Genre ID","Technologies referenced","Technologies referenced id","Technologies used","Technologies used id",Topic,"Topic id",Sentiment,"Sentiment id","Situation machine vision is used in","Situation machine vision is used in ID",Characters,"Characters ID"
Lauren,123,2017,"United States","Art, Performance art","20002, 2000140",,,"Surveillance cameras",200080,"Companionship, Empathy, Labour, Surveillance","200050, 2000174, 2000179, 200052","Helpful, Intimate","200098, 2000100","Lauren (Lauren replacing AI)",446,"""Lauren McCarthy""",445
"Learning to See: Gloomy Sunday",1494,2017,"Turkey, United Kingdom","Art, Video art, Installation art","20002, 2000139, 2000138",,,"Image generation, Machine learning","200073, 200012","AI, Consciousness, Nature, Playful","2000168, 2000171, 2000175, 2000170",Wondrous,2000325,"Learning to See: Gloomy Sunday (Machine learns to see)",1075,,
"Lessons on Leaving Your Body",167,2014,"Israel, United States","Art, Narrative, Movie","20002, 20001, 2000130","Drones (UAV)",200079,"Drones (UAV)",200079,"Free will, Nature","2000163, 2000175","Alien, Dangerous, Exciting, Flawed, Intimate","200096, 2000129, 200097, 2000208, 2000100","Lessons on Leaving Your Body (Drones)",320,"""Jake Wells""",319
"Lessons on Leaving Your Body",167,2014,"Israel, United States","Art, Narrative, Movie","20002, 20001, 2000130","Drones (UAV)",200079,"Drones (UAV)",200079,"Free will, Nature","2000163, 2000175","Alien, Dangerous, Exciting, Flawed, Intimate","200096, 2000129, 200097, 2000208, 2000100","Lessons on Leaving Your Body (Drones)",320,"""Jake Wells""",319
"Level of Confidence",1576,2015,Mexico,Art,20002,,,"Facial recognition",20007,"AI, Conflict, Surveillance","2000168, 200055, 200052","Flawed, Helpful, Subversive","2000208, 200098, 2000210","Level of Confidence (matching faces)",1651,,
"Life: A User’s Manual",1782,2003,"Canada, Netherlands, Germany","Art, Video art, Performance art","20002, 2000139, 2000140",,,"Surveillance cameras",200080,"City, Hacking, Surveillance","2000311, 2000160, 200052","Intimate, Intrusive","2000100, 2000209","Life: A User’s Manual (broadcasting CCTV footage)",1783,,
Lifeline,1526,2003,Japan,Game,20003,"Surveillance cameras",200080,,,"Horror, Surveillance","200061, 200052","Helpful, Prosocial, Protective","200098, 2000319, 2000317","Lifeline (Security cameras)",1527,"Rio, The Operator (Lifeline)","1525, 2770"
"Little Brother",173,2008,"Canada, United States","Narrative, Novel","20001, 2000133","Biometrics, Drones (UAV), Facial recognition, Surveillance cameras","20009, 200079, 20007, 200080",,,"Companionship, Conflict, Dystopian, Hacking, Surveillance","200050, 200055, 200070, 2000160, 200052","Dangerous, Exciting, Fun, Helpful, Intrusive, Oppressive, Subversive","2000129, 200097, 2000212, 200098, 2000209, 2000107, 2000210","Little Brother (Gait Recognition Cameras in Schools), Little Brother (Marcus looks for surveillance cameras)","2867, 2869","Marcus Yallow",2868
"Little Eyes/Kentukis",1196,2018,Spain,"Narrative, Novel","20001, 2000133","UGV, Webcams","2000947, 2000153",,,Companionship,200050,"Creepy, Empowering, Intimate, Prosocial, Protective","2000327, 2000318, 2000100, 2000319, 2000317","Little Eyes (Torturing Kentuki), Little Eyes (Kidnapping), Little Eyes (Disconnecting)","1203, 1204, 1208","Alina, Dweller of Alina's kentuki, Grigor, Nikolina, Andrea Farbe","1201, 1202, 1205, 1206, 1207"
Logan,1918,2017,"United States","Narrative, Movie","20001, 2000130",Cameraphone,2000154,,,"Conflict, Family, Grief, Identity","200055, 2000167, 2000161, 2000169",Protective,2000317,"Logan (Gabriela records with her cellphone camera)",2358,Gabriela,2357
"Los anillos de la serpiente",1873,2019,Argentina,"Art, Installation art","20002, 2000138",,,"Camera, Motion tracking, Object recognition","2000206, 2000180, 200015","Social Media",2000177,"Dangerous, Intimate, Overwhelming","2000129, 2000100, 2000188","Los anillos de la serpiente (triggering a intimate spectacle)",2069,,
"Lost Faith",341,2019,"United States, Germany","Narrative, Music video","20001, 2000316","Drones (UAV), Facial recognition, Object recognition","200079, 20007, 200015","Drones (UAV), Filtering","200079, 200013","Autonomous vehicles, Surveillance","2000201, 200052","Alien, Intrusive, Overwhelming","200096, 2000209, 2000188","Lost Faith (Bob is followed by drone)",340,"""Bob Mould""",790
"Love, Death & Robots",1124,2019,"United States","Narrative, TV series or episode","20001, 2000131","AI (General Purpose Artificial Intelligence), Augmented reality, Biometrics, Camera, Holograms, Machine learning, Non-Visible Spectrum, Object recognition","2000152, 200074, 20009, 2000206, 20001339, 200012, 2000207, 200015",,,"AI, Companionship, Consciousness, Dystopian, Empathy, Inequality, Physical violence, Robots/androids, Sex","2000168, 200050, 2000171, 200070, 2000174, 200089, 200056, 200051, 200053","Helpful, Protective","200098, 2000317","Love, Death and Robots (Robot checks location), Love, Death and Robots (Robot takes photos), Love, Death and Robots (Robot checks scans environment), Love, Death and Robots (Suzy coordinates via hologram), Love, Death and Robots (Holographic fight host), Love, Death and Robots (Sentient plane sees everything)","2498, 2502, 2503, 2505, 2508, 2512","Humanoid robot (Love, Death & Robots), Box robot (Love, Death & Robots), Small robot (Love, Death & Robots), Holographic Fight Host, Cutter Colby, Lucky 13, Suzy","2495, 2497, 2496, 2507, 2511, 2510, 2504"
"LoveStar: A Novel",1775,2002,Iceland,"Narrative, Novel","20001, 2000133","Optical/ocular implant, Surveillance cameras","2000127, 200080",,,"Identity, Romantic relationship","2000169, 200048","Fun, Helpful, Intrusive, Overwhelming","2000212, 200098, 2000209, 2000188","LoveStar (ubiquitous surveillance), LoveStar (Visual nerve hooked to porn)","1772, 1774","Indridi (LoveStar)",1771
"Machine Vision",73,1978,Iceland,"Art, Installation art","20002, 2000138",,,"Analogue, Camera","2000204, 2000206",Automation,2000173,"Alien, Exciting","200096, 200097","Machine Vision (Camera replacing eyes)",428,,
Machinehood,3119,2021,"United States, India","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Drones (UAV), Optical/ocular implant","2000152, 200079, 2000127",,,"AI, Automation, Family, Labour, Physical violence","2000168, 2000173, 2000167, 2000179, 200056","Empowering, Intimate, Prosocial","2000318, 2000100, 2000319","Machinehood (microdrones), Machinehood (Lenses/optical implants), Machinehood (Classifying people)","3120, 3121, 3122","Welga (Olga Ramírez), Nithya Balachandran","3118, 3123"
"Machines Like Me",432,2019,"United Kingdom","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence)",2000152,,,"AI, Competition, Crime, Economy, Family, Identity, Physical violence, Robots/androids, Romantic relationship, Sex","2000168, 2000245, 200057, 2000172, 2000167, 2000169, 200056, 200051, 200048, 200053","Alien, Exciting","200096, 200097","Machines Like Me (AI)",436,"Charlie Friend, Adam, Miranda","435, 434, 433"
"Madoc: A Mystery",2719,1990,Ireland,Narrative,20001,"Body scans, Optical/ocular implant","200090, 2000127",,,"Dystopian, Utopian","200070, 200071","Intrusive, Oppressive","2000209, 2000107","Madoc: A Mystery (Retinograph)",2969,South,2718
"Man With a Movie Camera",1167,1929,Ukraine,"Narrative, Movie","20001, 2000130",Camera,2000206,,,"Automation, City, Labour","2000173, 2000311, 2000179","Helpful, Wondrous","200098, 2000325","Man with a Movie Camera (Animated movie camera), Man with a Movie Camera (Kino-eye)","1166, 1169","Audience (Man With a Movie Camera)",1168
Manhunt,1041,2003,"United Kingdom",Game,20003,"Surveillance cameras",200080,,,"Horror, Physical violence, Surveillance","200061, 200056, 200052","Creepy, Disgusting, Exciting","2000327, 2000328, 200097","Manhunt (Replaying murders on CCTV)",1066,"James Earl Cash, Lionel Starkweather, Criminals (Manhunt)","1065, 1067, 1068"
Mask.ID,2988,2018,Germany,Art,20002,"Biometrics, Facial recognition","20009, 20007","Biometrics, Image generation","20009, 200073","Conflict, Hacking, Identity, Surveillance","200055, 2000160, 2000169, 200052","Flawed, Oppressive","2000208, 2000107","Mask.ID (one photo two identities)",2989,,
"Masked Reality",3178,2018,India,"Art, Installation art","20002, 2000138","Facial recognition, Image generation, Machine learning","20007, 200073, 200012",,,"Gender, Playful","2000165, 2000170",Exciting,200097,"Masked Reality (generating masks)",3179,,
"Mass Effect: Andromeda",1178,2017,Canada,Game,20003,"AI (General Purpose Artificial Intelligence), Body scans, Holograms, Object recognition","2000152, 200090, 20001339, 200015",,,"AI, Nature, Race, War","2000168, 2000175, 2000166, 200054","Empowering, Helpful","2000318, 200098","Mass Effect: Andromeda (Omni-tool scanner), Mass Effect: Andromeda (Virtual intelligence hologram assistant), Mass Effect: Andromeda (Alien mimics hologram of human)","3075, 3076, 3077","Sara/Scott Ryder, Aliens, Avina","3074, 770, 3229"
"MegaPixels: Faces",213,2017,"United States, Germany","Art, Installation art","20002, 2000138",,,"Facial recognition, Machine learning","20007, 200012","AI, Identity, Surveillance","2000168, 2000169, 200052","Intimate, Intrusive, Subversive","2000100, 2000209, 2000210","MegaPixels: Faces (Matching faces)",258,,
MEMEMEME#selfie,1666,2016,"Brazil, United States","Art, Installation art","20002, 2000138",,,"Cameraphone, Object recognition","2000154, 200015","Consciousness, Playful, Robots/androids","2000171, 2000170, 200051","Fun, Prosocial","2000212, 2000319","MEMEMEME#selfie (smartphone making selfie of it self)",1917,,
"Memoirs of the Blind",1658,2018,"Japan, South Korea","Art, Installation art","20002, 2000138",,,"Camera, Facial recognition","2000206, 20007","AI, Playful","2000168, 2000170","Flawed, Fun","2000208, 2000212","Memoirs of the Blind (capturing eyes closed)",1659,,
"Memories of the Alhambra",1816,2018,"South Korea","Narrative, TV series or episode","20001, 2000131","AI (General Purpose Artificial Intelligence), Augmented reality, Facial recognition, Image generation, Motion tracking, Object recognition, Optical/ocular implant","2000152, 200074, 20007, 200073, 2000180, 200015, 2000127",,,"AI, Physical violence, Romantic relationship","2000168, 200056, 200048","Dangerous, Exciting, Fun, Hostile","2000129, 200097, 2000212, 200099","Memories of the Alhambra (interaction with an AI), Memories of the Alhambra (first time re-entering Alhambra) , Memories of the Alhambra (Guiding to the first weapon)","1909, 1857, 1858","Emma (AI), Yoo Jin Woo,  Jung Hee Joo","1825, 1820, 1821"
"Ministry of Broadcast",1171,2020,Czechia,Game,20003,"Surveillance cameras",200080,,,"Competition, Dystopian, Inequality, Surveillance","2000245, 200070, 200089, 200052",Oppressive,2000107,"Ministry of Broadcast (Live-streamed competition in Arena)",1173,"The Contestant (Ministry of Broadcast)",1172
"Minority Report",141,2002,"United States","Narrative, Movie","20001, 2000130","Augmented reality, Biometrics, Facial recognition, Holograms, Non-Visible Spectrum, Surveillance cameras","200074, 20009, 20007, 20001339, 2000207, 200080",,,"Crime, Dystopian, Free will","200057, 200070, 2000163","Dangerous, Hostile, Intrusive, Oppressive","2000129, 200099, 2000209, 2000107","Minority Report (Gestural interface), Minority Report (Holograms of Anderton's dead child), Minority Report (eyedentiscans), Minority Report (VR), Minority Report (Scanning bagged eyeball), Minority Report (Personalized ads)","267, 601, 602, 603, 844, 2967","John Anderton",265
"Molecular Informatics-morphogenic substance via eye tracking",3017,1996,Japan,"Art, Installation art","20002, 2000138",,,"Motion tracking, Virtual reality","2000180, 2000147","Consciousness, Playful","2000171, 2000170","Alien, Wondrous","200096, 2000325","Molecular Informatics-morphogenic substance via eye tracking (the gaze creating the space)",3018,,
"Mono no Aware",1818,2012,Japan,"Narrative, Short story","20001, 2000134","Surveillance cameras",200080,,,"Family, Identity","2000167, 2000169",Intimate,2000100,"Mono no Aware (Video Feed)",1943,"Hiroto Shimizu",1813
"Mosaic Virus and Myriad (Tulips)",187,2018,"United Kingdom","Art, Video art","20002, 2000139",,,"Image generation, Machine learning","200073, 200012","AI, Economy, Nature","2000168, 2000172, 2000175",Wondrous,2000325,"Mosaic Virus and Myriad (Generating new images of tulips)",528,,
"Moth & Whisper",2978,2018,"United States","Narrative, Comic","20001, 2000330","Facial recognition, Surveillance cameras","20007, 200080",,,"Crime, Dystopian, Gender, Hacking, Surveillance","200057, 200070, 2000165, 2000160, 200052","Hostile, Oppressive","200099, 2000107","Moth & Whisper (Weaver Suit), Moth & Whisper & Whisper (Ubiquitous Surveillance)","3218, 3219",Niki,3217
Moxyland,971,2008,"South Africa","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Biometrics, Camera, Motion tracking, Virtual reality","2000152, 20009, 2000206, 2000180, 2000147",,,"Crime, Dystopian, Hacking, Identity","200057, 200070, 2000160, 2000169","Empowering, Helpful, Subversive","2000318, 200098, 2000210","Moxyland (Toby`s recording jacket)",972,Toby,970
"My Camera Knows Something I Don't",222,2018,,"Narrative, Creepypasta","20001, 2000136","Cameraphone, Facial recognition","2000154, 20007",,,Horror,200061,"Creepy, Helpful","2000327, 200098","My Camera Knows Something I Don't (Facial recognition)",549,"Narrator (My Camera Knows Something)",882
"My Holo Love",2433,2020,"South Korea","Narrative, TV series or episode","20001, 2000131","AI (General Purpose Artificial Intelligence), Biometrics, Emotion recognition, Facial recognition, Holograms, Surveillance cameras","2000152, 20009, 200091, 20007, 20001339, 200080",,,"AI, Romantic relationship","2000168, 200048","Helpful, Overwhelming, Wondrous","200098, 2000188, 2000325","My Holo Love (Holo overrides driving), My Holo Love (Go Yoo-Jin Protects Holo Glasses), My Holo Love (Han So-yeon finds Holo glasses), My Holo Love (Holo assists Han So-yeon), My Holo Love (Go Nan-do is Watching Them)","2592, 2593, 2594, 2595, 2597","Holo, Han So-Yeon, Go Yoo-jin, Go Nan-do","2562, 2563, 2591, 2596"
"Nail Art Museum",61,2014,Canada,"Art, Video art, Online art","20002, 2000139, 2000159",,,"Augmented reality, Object recognition, Webcams","200074, 200015, 2000153","Identity, Playful, Social Media","2000169, 2000170, 2000177","Exciting, Fun, Helpful","200097, 2000212, 200098","Nail Art Museum (Generating Nail Art)",385,"""Jeremy Bailey""",384
"NAMAHAGE in Tokyo",597,2017,Japan,"Art, Video art, Performance art","20002, 2000139, 2000140","Facial recognition, Surveillance cameras","20007, 200080",,,"City, Hacking, Horror, Social Media, Surveillance","2000311, 2000160, 200061, 2000177, 200052","Hostile, Intrusive, Protective","200099, 2000209, 2000317","NAMAHAGE (Namahage surveilling  and diciplining ""bad adults"")",651,"Namahage, Adult Tokyo population, Akihabara (NAMAHAGE in Tokyo)","649, 650, 2846"
Narciss,179,2018,Germany,"Art, Installation art","20002, 2000138","AI (General Purpose Artificial Intelligence)",2000152,"Camera, Machine learning, Object recognition","2000206, 200012, 200015","AI, Consciousness","2000168, 2000171","Alien, Intimate, Wondrous","200096, 2000100, 2000325","Narciss (Self-analysing Machine)",531,,
"Neo Cab",1740,2019,"United States",Game,20003,"Augmented reality, Body scans, Camera, Emotion recognition, Holograms, UGV","200074, 200090, 2000206, 200091, 20001339, 2000947",,,"Autonomous vehicles, City, Companionship, Empathy, Labour, Surveillance","2000201, 2000311, 200050, 2000174, 2000179, 200052","Creepy, Flawed, Overwhelming","2000327, 2000208, 2000188","Neo Cab (Allie's sousveillance suit), Neo Cab (Gideon's surveillance suit), Neo Cab (Feelgrid emotion device)","1742, 2774, 2772","Allie Bream, Lina Romero, Gideon DeKalb, Gideon DeKalb's mother","1738, 1741, 2775, 2777"
"Neon Genesis Evangelion",405,1995,Japan,"Narrative, TV series or episode","20001, 2000131","AI (General Purpose Artificial Intelligence), Augmented reality, Biometrics, Body scans, Satellite images, Surveillance cameras","2000152, 200074, 20009, 200090, 200078, 200080",,,"AI, Companionship, Conflict, Consciousness, Cyborgs, Family, Free will, Identity, Physical violence, War","2000168, 200050, 200055, 2000171, 2000203, 2000167, 2000163, 2000169, 200056, 200054","Helpful, Intimate","200098, 2000100","Neon Genesis Evangelion (Tokyo-3 surveillance), Neon Genesis Evangelion (Overlay telephones)","404, 407","Shinji Ikari, Rei Ayanami, Asuka Soryu Langley , Evangelions","403, 406, 408, 1125"
Neuleittorgasse,896,2018,Austria,"Art, Photograph/print/painting","20002, 2000157",,,"Machine learning, Interactive panoramas","200012, 2000155","AI, City","2000168, 2000311",Wondrous,2000325,"Neuleittorgasse (Generating Street Views)",1138,,
"Neural Network Training",1584,2019,Austria,"Art, Installation art","20002, 2000138",,,"Machine learning, Object recognition","200012, 200015","AI, Playful","2000168, 2000170","Fun, Wondrous","2000212, 2000325","Neural Network Training (recognizing objects)",1594,,
"Neuro Mirror",3067,2017,Austria,"Art, Installation art","20002, 2000138","AI (General Purpose Artificial Intelligence)",2000152,"Camera, Facial recognition, Image generation, Machine learning","2000206, 20007, 200073, 200012","AI, Consciousness","2000168, 2000171",Intimate,2000100,"Neuro Mirror (Past, Present, Future)",3068,,
Neuromancer,1426,1984,"United States","Narrative, Novel","20001, 2000133","Holograms, Optical/ocular implant, Virtual reality","20001339, 2000127, 2000147",,,,,,,"Neuromancer (Molly's eyes), Neuromancer (Holographic map), Neuromancer (Manipulative holograms)","1429, 1430, 3078","Case, Molly Millions, Wintermute, Peter Riviera","1425, 1428, 1427, 3079"
"NieR: Automata",129,2017,Japan,Game,20003,"AI (General Purpose Artificial Intelligence), Augmented reality, Drones (UAV), Holograms","2000152, 200074, 200079, 20001339",,,"AI, Conflict, Consciousness, Free will, Physical violence, Robots/androids, War","2000168, 200055, 2000171, 2000163, 200056, 200051, 200054",Helpful,200098,"NieR: Automata (Drone scan), NieR: Automata (Holographic Red Girls), NieR: Automata (Fighting AI in hacking space)","1470, 2732, 3248","2B, 9S, A2, Pod 042, Red Girls","1468, 2731, 3247, 1469, 2733"
"Night Trap",53,1992,"United States",Game,20003,"Surveillance cameras",200080,,,Surveillance,200052,"Intimate, Protective","2000100, 2000317","Night Trap (Protecting girls through surveillance)",401,"Girls (Night Trap), Vampires (Night Trap)","856, 855"
"Nineteen Eighty-Four",202,1949,"United Kingdom","Narrative, Novel","20001, 2000133","Surveillance cameras",200080,,,"Dystopian, Surveillance, War","200070, 200052, 200054","Hostile, Oppressive","200099, 2000107","Nineteen Eighty-Four (Surveillance cameras)",243,"Winston Smith",241
"NITE Team 4",910,2019,Canada,Game,20003,"Biometrics, Drones (UAV), Non-Visible Spectrum, Satellite images, Surveillance cameras","20009, 200079, 2000207, 200078, 200080",,,"Conflict, Crime, Hacking, Surveillance","200055, 200057, 2000160, 200052","Empowering, Intrusive, Overwhelming","2000318, 2000209, 2000188","NITE Team 4 (Identify and attack house)",1008,,
"No More Selfies - A Kardashian Dystopia",165,2018,,"Narrative, Fan fiction","20001, 2000135","Augmented reality, Cameraphone, Drones (UAV), Emotion recognition, Facial recognition, Surveillance cameras","200074, 2000154, 200079, 200091, 20007, 200080",,,"Dystopian, Gender, Inequality, Labour, Robots/androids, Social Media, Surveillance","200070, 2000165, 200089, 2000179, 200051, 2000177, 200052","Hostile, Oppressive","200099, 2000107","No More Selfies (Drone attack)",3145,"Sunita (No More Selfies), ""Kim Kardashian""  (No More Selfies), Bri-Bri (No More Selfies)","543, 544, 3144"
"Nothing to Hide",55,2014,Canada,Game,20003,"Surveillance cameras",200080,,,"Dystopian, Surveillance","200070, 200052","Dangerous, Intrusive, Oppressive","2000129, 2000209, 2000107","Nothing to Hide (Always surveilled)",581,"Poppy Gardner",706
Oblivion,2215,2013,"United States","Narrative, Movie","20001, 2000130","Body scans, Facial recognition, Satellite images, Surveillance cameras","200090, 20007, 200078, 200080",,,"Dystopian, Robots/androids","200070, 200051","Dangerous, Helpful, Hostile, Protective","2000129, 200098, 200099, 2000317","Oblivion (Perspective of a drone), Oblivion (Drone performs a body scan looking for people), Oblivion (A look through a futuristic binocular), Oblivion (Surveillance camera used to overlook a dangerous area), Oblivion (Using the spaceship camera to surveil a fight)","2259, 2258, 2257, 2255, 2260","Jack Harper, Victoria “Vika” Olsen, Scavengers","2253, 2254, 2256"
Observation,757,2019,"United Kingdom",Game,20003,"AI (General Purpose Artificial Intelligence), Drones (UAV), Object recognition, Surveillance cameras, Webcams","2000152, 200079, 200015, 200080, 2000153",,,"AI, Free will","2000168, 2000163","Creepy, Flawed, Helpful, Intimate","2000327, 2000208, 200098, 2000100","Observation (fixing space station), Observation (hacked AI)","1231, 1232","Emma Fisher, SAM","758, 1230"
"Ocean`s Eight",290,2018,"United States","Narrative, Movie","20001, 2000130","Augmented reality",200074,,,"Companionship, Crime","200050, 200057","Helpful, Neutral","200098, 2000101","Oceans`s Eight (Rose scanning necklace)",289,"Rose Weil",288
"October Faction",1090,2020,"United States, Canada","Narrative, TV series or episode","20001, 2000131","Cameraphone, Non-Visible Spectrum, Object recognition","2000154, 2000207, 200015",,,Family,2000167,Helpful,200098,"October Faction (Detecting Hostile Aliens)",1091,"Deloris Allen, Fred Allen","1088, 1089"
Onisciente,1734,2020,Brazil,"Narrative, TV series or episode","20001, 2000131","AI (General Purpose Artificial Intelligence), Biometrics, Body scans, Drones (UAV), Facial recognition, Non-Visible Spectrum","2000152, 20009, 200090, 200079, 20007, 2000207",,,"AI, Crime, Dystopian, Inequality, Surveillance","2000168, 200057, 200070, 200089, 200052","Flawed, Intimate, Intrusive","2000208, 2000100, 2000209","Onisciente (Stealing fingerprints), Onisciente (Jamming drone signal)","1736, 1737","Nina Peixoto",1735
"Optimising for Beauty",1496,2017,"Turkey, United Kingdom","Art, Video art","20002, 2000139",,,"Image generation, Machine learning","200073, 200012",AI,2000168,"Flawed, Misleading","2000208, 2000213","Optimising for Beauty (learning to see beauty)",1547,,
"Órbita 9",1975,2017,Spain,"Narrative, Movie","20001, 2000130","3D scans, Holograms, Image generation, Motion tracking, Surveillance cameras","20001081, 20001339, 200073, 2000180, 200080",,,"Conflict, Dystopian, Surveillance","200055, 200070, 200052","Helpful, Hostile","200098, 200099","Órbita 9 (Robot Records and Projects Footage), Órbita 9 (Surveillance Cameras in Space Station), Órbita 9 (Motion Tracking in Therapy Session), Órbita 9 (Motion Tracking in Hostage Situation)","2109, 2110, 2189, 2190","Helena, Alex","2106, 2107"
Orwell,44,2016,Germany,Game,20003,"Biometrics, Facial recognition, Surveillance cameras","20009, 20007, 200080",,,"Conflict, Crime, Dystopian, Identity, Surveillance","200055, 200057, 200070, 2000169, 200052","Intrusive, Misleading","2000209, 2000213","Orwell (Identification)",681,"Cassandra Watergate",880
Osmosis,2232,2019,France,"Narrative, TV series or episode","20001, 2000131","AI (General Purpose Artificial Intelligence), Body scans, Image generation, Surveillance cameras, Virtual reality","2000152, 200090, 200073, 200080, 2000147",,,"Conflict, Free will, Romantic relationship","200055, 2000163, 200048","Creepy, Helpful, Intimate","2000327, 200098, 2000100","Osmosis (VR Dating App), Osmosis (MRI Scan for Brain Activity)","2229, 2231","Esther Vanhove, Paul Vanhove","2227, 2228"
Outlast,228,2013,Canada,Game,20003,"Camera, Non-Visible Spectrum","2000206, 2000207",,,"Horror, Physical violence","200061, 200056","Creepy, Flawed, Helpful, Protective","2000327, 2000208, 200098, 2000317","Outlast (Night vision camcorder)",580,"Miles Upshur, Asylum patients (Outlast)","718, 2736"
"Outra 33 Bienal de São Paulo",1682,2018,Brazil,Art,20002,,,"Machine learning, Motion tracking, Object recognition","200012, 2000180, 200015","AI, Identity, Inequality, Labour","2000168, 2000169, 200089, 2000179","Alien, Flawed","200096, 2000208","Outra 33 Bienal de São Paulo (AI analyzing the Biennial setup)",1948,"Workers (Outra 33 Bienal de São Paulo)",1947
"Outside the Wire",2722,2021,"United States","Narrative, Movie","20001, 2000130","Drones (UAV), Facial recognition, Non-Visible Spectrum, Satellite images","200079, 20007, 2000207, 200078",,,"AI, Free will, Robots/androids, War","2000168, 2000163, 200051, 200054","Dangerous, Empowering, Helpful","2000129, 2000318, 200098","Outside the Wire (Drone strike friendly fire), Outside the Wire (Locating and tracking android soldier)","2726, 2727","Lt. Thomas Harp, Captain Leo, Corporal Mandy Bale","2724, 2725, 2728"
Panopticities,2042,2018,"South Korea","Art, Video art, Installation art","20002, 2000139, 2000138",,,"Surveillance cameras, Webcams","200080, 2000153","City, Hacking, Surveillance","2000311, 2000160, 200052","Intrusive, Overwhelming","2000209, 2000188","Panopticities (exposing vulnerabe IP-camera feeds)",2244,,
Paper,345,2008,"United Kingdom","Narrative, Music video","20001, 2000316","Surveillance cameras",200080,"Surveillance cameras",200080,"City, Surveillance","2000311, 200052",Neutral,2000101,"Paper (Band intentionally caught on CCTV)",344,"""Paper""",782
Passengers,2222,2016,"Norway, United States","Narrative, Movie","20001, 2000130","Body scans, Holograms, Motion tracking, Surveillance cameras","200090, 20001339, 2000180, 200080",,,"Companionship, Robots/androids, Romantic relationship","200050, 200051, 200048","Exciting, Helpful, Hostile","200097, 200098, 200099","Passengers (Full body hologram of a crewmember) , Passengers (Use of a camera to interact with someone), Passengers (Surveillance cameras in the spaceship), Passengers (Hologram of the spaceship), Passengers (Full body scan to determine the symptoms), Passengers (Space helmet used to track a body)","2265, 2266, 2267, 2268, 2269, 2270","Jim Preston, Aurora Lane, Gus Mancuso","2262, 2263, 2264"
"Pattern Recognition",1101,2003,"United States","Narrative, Novel","20001, 2000133","AI (General Purpose Artificial Intelligence), Augmented reality, Camera, Non-Visible Spectrum, Object recognition","2000152, 200074, 2000206, 2000207, 200015",,,"City, Hacking","2000311, 2000160","Helpful, Neutral","200098, 2000101","Pattern Recogntion (Security scanning for lying/blushing), Pattern Recogntion (Camera recognising shapes), Pattern Recognition (Finding Cayce using nightvision)","1103, 1104, 1107","Cayce Pollard, Friends of Parkaboy (Pattern Recognition), Parkaboy","1102, 1105, 1106"
"PHYSIOGNOMIC SCRUTINIZER",1573,2009,Netherlands,"Art, Installation art","20002, 2000138",,,"Facial recognition, Machine learning","20007, 200012","AI, Identity, Surveillance","2000168, 2000169, 200052","Flawed, Intrusive","2000208, 2000209","PHYSIOGNOMIC SCRUTINIZER (matching faces)",1652,,
Pixelhead,1511,2010,Germany,Art,20002,"Facial recognition",20007,,,"Hacking, Surveillance","2000160, 200052","Flawed, Intrusive","2000208, 2000209","Pixelhead (avoiding facial recognition)",1554,,
"Pokémon Go",49,2016,,Game,20003,,,"Augmented reality, Cameraphone","200074, 2000154","Animals, Companionship, Competition, Playful","2000200, 200050, 2000245, 2000170","Exciting, Fun","200097, 2000212","Pokémon Go (Augmented reality)",276,Pokémon,1014
"Pontos cegos / Blind spots",1675,2016,Brazil,"Art, Performance art, Installation art","20002, 2000140, 2000138",,,,,"City, Hacking, Surveillance","2000311, 2000160, 200052",,,"Pontos cegos / Blind spots (exposing surveillance cameras)",2738,,
Portal,1033,2007,"United States",Game,20003,"AI (General Purpose Artificial Intelligence), Machine learning, Motion tracking, Surveillance cameras","2000152, 200012, 2000180, 200080",,,"AI, Empathy, Surveillance","2000168, 2000174, 200052","Hostile, Oppressive","200099, 2000107","Portal (Security camera), Portal (Avoiding GLaDOS's vision)","1062, 2755","Chell, GLaDOS","1060, 1063"
"Portrait Machine",3012,2009,Netherlands,"Art, Installation art","20002, 2000138",,,"Camera, Emotion recognition, Facial recognition, Object recognition","2000206, 200091, 20007, 200015","Identity, Playful","2000169, 2000170","Fun, Prosocial","2000212, 2000319","Portrait Machine (similar patterns)",3013,,
"Postcards from Google Earth",63,2010,"United States","Art, Photograph/print/painting","20002, 2000157",,,"Satellite images, Interactive panoramas","200078, 2000155",Automation,2000173,"Flawed, Wondrous","2000208, 2000325","Postcard from Google Earth (Satellite image glitches)",291,,
"Primal Tourism",595,2016,Denmark,"Art, Installation art","20002, 2000138",,,"Satellite images, Virtual reality","200078, 2000147","Climate Change, Nature","200069, 2000175",Wondrous,2000325,"Primal Tourism (Virtual Replica)",594,,
"Privacy Machine",1053,2019,Germany,"Art, Video art, Installation art","20002, 2000139, 2000138",,,"Facial recognition, Filtering, Object recognition","20007, 200013, 200015","Free will, Identity, Surveillance, Utopian","2000163, 2000169, 200052, 200071","Helpful, Protective","200098, 2000317","Privacy Machine (Obfuscating camera)",1052,,
